,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,recent_px,intrinsic_calc,intrinsic_value,option_px,extrinsic_value
0,AAPL201211C00060000,2020-11-24 16:37:33,60.0,55.05,61.95,62.5,0.0,0.0,1,62,2.7656280859375,True,REGULAR,USD,122.25,62.25,62.25,62.225,-0.02499999999999858
1,AAPL201211C00065000,2020-11-24 14:49:29,65.0,47.95,56.95,57.5,0.0,0.0,1,2,2.4843787890625,True,REGULAR,USD,122.25,57.25,57.25,57.225,-0.02499999999999858
2,AAPL201211C00070000,2020-11-24 14:37:48,70.0,43.2,51.95,52.5,0.0,0.0,20,80,2.2226606933593747,True,REGULAR,USD,122.25,52.25,52.25,52.225,-0.02499999999999858
3,AAPL201211C00075000,2020-12-04 14:57:31,75.0,46.87,47.05,47.35,-0.24000168,-0.50944954,4,21,1.72265763671875,True,REGULAR,USD,122.25,47.25,47.25,47.2,-0.04999999999999716
4,AAPL201211C00080000,2020-12-04 18:46:09,80.0,41.94,42.1,42.35,-1.3100014,-3.028905,12,11,1.5195336523437497,True,REGULAR,USD,122.25,42.25,42.25,42.225,-0.02499999999999858
5,AAPL201211C00085000,2020-11-30 20:54:56,85.0,34.5,37.1,37.35,0.0,0.0,20,54,1.32422212890625,True,REGULAR,USD,122.25,37.25,37.25,37.225,-0.02499999999999858
6,AAPL201211C00090000,2020-12-04 20:22:12,90.0,32.05,32.1,32.3,-0.3199997,-0.9885687,116,109,1.0351610742187503,True,REGULAR,USD,122.25,32.25,32.25,32.2,-0.04999999999999716
7,AAPL201211C00095000,2020-12-04 20:15:24,95.0,27.23,27.1,27.3,-0.6700001,-2.4014342,12,60,0.8710950390625,True,REGULAR,USD,122.25,27.25,27.25,27.200000000000003,-0.04999999999999716
8,AAPL201211C00096000,2020-12-04 17:52:30,96.0,26.08,26.1,26.35,5.7800007,28.472912,1,11,0.92773509765625,True,REGULAR,USD,122.25,26.25,26.25,26.225,-0.02499999999999858
9,AAPL201211C00097000,2020-11-30 14:35:12,97.0,21.27,25.1,25.35,0.0,0.0,10,17,0.89257919921875,True,REGULAR,USD,122.25,25.25,25.25,25.225,-0.02499999999999858
10,AAPL201211C00098000,2020-12-04 20:14:27,98.0,24.2,24.1,24.4,-0.5,-2.0242915,108,282,0.500005,True,REGULAR,USD,122.25,24.25,24.25,24.25,0.0
11,AAPL201211C00099000,2020-12-04 14:48:45,99.0,23.35,23.1,23.35,-0.29999924,-1.2684957,8,38,0.8242205078124999,True,REGULAR,USD,122.25,23.25,23.25,23.225,-0.02499999999999858
12,AAPL201211C00099500,2020-11-24 20:11:17,99.5,16.05,22.6,22.85,0.0,0.0,2,22,0.8085956640624999,True,REGULAR,USD,122.25,22.75,22.75,22.725,-0.02499999999999858
13,AAPL201211C00100000,2020-12-04 20:29:21,100.0,22.05,22.1,22.4,-0.77000046,-3.3742354,158,175,0.8457046679687499,True,REGULAR,USD,122.25,22.25,22.25,22.25,0.0
14,AAPL201211C00101000,2020-12-04 14:45:31,101.0,21.1,21.1,21.35,-1.0599995,-4.783391,1,4,0.7578149218750001,True,REGULAR,USD,122.25,21.25,21.25,21.225,-0.02499999999999858
15,AAPL201211C00102000,2020-12-03 19:01:12,102.0,20.7,20.1,20.35,0.0,0.0,1,32,0.7226590234375,True,REGULAR,USD,122.25,20.25,20.25,20.225,-0.02499999999999858
16,AAPL201211C00103000,2020-12-04 20:11:22,103.0,19.2,19.1,19.4,-0.69999886,-3.5175822,2,56,0.7402369726562499,True,REGULAR,USD,122.25,19.25,19.25,19.25,0.0
17,AAPL201211C00104000,2020-12-02 17:35:44,104.0,19.05,18.1,18.4,0.0,0.0,1,115,0.7050810742187501,True,REGULAR,USD,122.25,18.25,18.25,18.25,0.0
18,AAPL201211C00105000,2020-12-04 20:29:53,105.0,17.05,17.1,17.35,-0.9300003,-5.1724153,148,334,0.6250037500000001,True,REGULAR,USD,122.25,17.25,17.25,17.225,-0.02499999999999858
19,AAPL201211C00106000,2020-12-03 20:56:10,106.0,16.75,16.15,16.4,0.0,0.0,11,72,0.6357458300781251,True,REGULAR,USD,122.25,16.25,16.25,16.275,0.02499999999999858
20,AAPL201211C00107000,2020-12-04 20:12:26,107.0,15.25,15.15,15.35,-0.6499996,-4.088048,80,405,0.5585981640625001,True,REGULAR,USD,122.25,15.25,15.25,15.25,0.0
21,AAPL201211C00108000,2020-12-04 17:05:15,108.0,14.2,14.15,14.4,-0.8600006,-5.7104955,6,711,0.5664105859375,True,REGULAR,USD,122.25,14.25,14.25,14.275,0.025000000000000355
22,AAPL201211C00109000,2020-12-04 19:24:59,109.0,12.92,13.15,13.4,-1.4499998,-10.090466,7,647,0.5312546875,True,REGULAR,USD,122.25,13.25,13.25,13.275,0.025000000000000355
23,AAPL201211C00110000,2020-12-04 20:33:33,110.0,12.13,12.15,12.45,-1.2299995,-9.206583,142,1500,0.5273484765625001,True,REGULAR,USD,122.25,12.25,12.25,12.3,0.05000000000000071
24,AAPL201211C00111000,2020-12-04 20:38:27,111.0,11.04,11.2,11.4,-0.7600002,-6.4406796,68,809,0.46289599609375004,True,REGULAR,USD,122.25,11.25,11.25,11.3,0.05000000000000071
25,AAPL201211C00112000,2020-12-04 20:50:50,112.0,10.15,10.2,10.4,-0.96000004,-8.640864,108,532,0.42774009765625004,True,REGULAR,USD,122.25,10.25,10.25,10.3,0.05000000000000071
26,AAPL201211C00113000,2020-12-04 20:46:42,113.0,9.24,9.25,9.45,-0.96000004,-9.411765,76,596,0.418951123046875,True,REGULAR,USD,122.25,9.25,9.25,9.35,0.09999999999999964
27,AAPL201211C00114000,2020-12-04 20:56:11,114.0,8.3,8.3,8.5,-0.9499998,-10.270268,168,1185,0.40332627929687503,True,REGULAR,USD,122.25,8.25,8.25,8.4,0.15000000000000036
28,AAPL201211C00115000,2020-12-04 20:59:26,115.0,7.45,7.35,7.55,-0.5500002,-6.8750024,7014,2913,0.383795224609375,True,REGULAR,USD,122.25,7.25,7.25,7.449999999999999,0.1999999999999993
29,AAPL201211C00116000,2020-12-04 20:58:47,116.0,6.49,6.4,6.6,-0.5600004,-7.9432683,912,2588,0.35986968261718744,True,REGULAR,USD,122.25,6.25,6.25,6.5,0.25
30,AAPL201211C00117000,2020-12-04 20:59:48,117.0,5.55,5.55,5.75,-0.7999997,-12.598421,1119,4014,0.3588931298828125,True,REGULAR,USD,122.25,5.25,5.25,5.65,0.40000000000000036
31,AAPL201211C00118000,2020-12-04 20:59:39,118.0,4.75,4.7,4.85,-0.75,-13.636364,1237,3595,0.3364324169921875,True,REGULAR,USD,122.25,4.25,4.25,4.775,0.5250000000000004
32,AAPL201211C00119000,2020-12-04 20:58:21,119.0,3.88,3.85,4.0,-0.8199997,-17.446802,1617,3680,0.3178779150390625,True,REGULAR,USD,122.25,3.25,3.25,3.925,0.6749999999999998
33,AAPL201211C00120000,2020-12-04 20:59:46,120.0,3.15,3.15,3.25,-0.79999995,-20.253164,14532,18169,0.309577216796875,True,REGULAR,USD,122.25,2.25,2.25,3.2,0.9500000000000002
34,AAPL201211C00121000,2020-12-04 20:58:32,121.0,2.49,2.52,2.58,-0.71000004,-22.187502,5806,8736,0.30371790039062496,True,REGULAR,USD,122.25,1.25,1.25,2.55,1.2999999999999998
35,AAPL201211C00122000,2020-12-04 20:59:55,122.0,1.95,1.97,1.99,-0.5899999,-23.228342,32333,7290,0.2981027221679687,True,REGULAR,USD,122.25,0.25,0.25,1.98,1.73
36,AAPL201211C00123000,2020-12-04 20:59:58,123.0,1.5,1.49,1.53,-0.54999995,-26.829266,30773,13296,0.299811689453125,False,REGULAR,USD,122.25,-0.75,0.0,1.51,1.51
37,AAPL201211C00124000,2020-12-04 20:59:40,124.0,1.11,1.11,1.14,-0.53999996,-32.727272,14365,10286,0.299811689453125,False,REGULAR,USD,122.25,-1.75,0.0,1.125,1.125
38,AAPL201211C00125000,2020-12-04 20:59:59,125.0,0.83,0.83,0.85,-0.41000003,-33.064518,38429,25364,0.30371790039062496,False,REGULAR,USD,122.25,-2.75,0.0,0.84,0.84
39,AAPL201211C00126000,2020-12-04 20:59:57,126.0,0.61,0.6,0.62,-0.33999997,-35.78947,7839,7320,0.30664755859375,False,REGULAR,USD,122.25,-3.75,0.0,0.61,0.61
40,AAPL201211C00127000,2020-12-04 20:59:22,127.0,0.45,0.44,0.46,-0.22000003,-32.835823,8717,6455,0.313483427734375,False,REGULAR,USD,122.25,-4.75,0.0,0.45,0.45
41,AAPL201211C00128000,2020-12-04 20:59:48,128.0,0.33,0.33,0.35,-0.21000001,-38.88889,5059,4271,0.3232489550781249,False,REGULAR,USD,122.25,-5.75,0.0,0.33999999999999997,0.33999999999999997
42,AAPL201211C00129000,2020-12-04 20:59:16,129.0,0.26,0.27,0.28,-0.15,-36.585365,4174,4346,0.33789724609375,False,REGULAR,USD,122.25,-6.75,0.0,0.275,0.275
43,AAPL201211C00130000,2020-12-04 20:59:56,130.0,0.22,0.21,0.22,-0.09,-29.03226,14360,16046,0.34961587890624996,False,REGULAR,USD,122.25,-7.75,0.0,0.215,0.215
44,AAPL201211C00131000,2020-12-04 20:59:33,131.0,0.17,0.16,0.17,-0.06999999,-29.166666,2859,2791,0.35938140625,False,REGULAR,USD,122.25,-8.75,0.0,0.165,0.165
45,AAPL201211C00132000,2020-12-04 20:59:02,132.0,0.14,0.13,0.15,-0.049999997,-26.315788,2534,3148,0.3789124609375,False,REGULAR,USD,122.25,-9.75,0.0,0.14,0.14
46,AAPL201211C00133000,2020-12-04 20:53:01,133.0,0.11,0.11,0.13,-0.040000007,-26.666672,3234,3495,0.39551385742187506,False,REGULAR,USD,122.25,-10.75,0.0,0.12,0.12
47,AAPL201211C00135000,2020-12-04 20:59:14,135.0,0.1,0.09,0.1,-0.019999996,-16.666664,12450,9905,0.42969320312500003,False,REGULAR,USD,122.25,-12.75,0.0,0.095,0.095
48,AAPL201211C00140000,2020-12-04 20:58:35,140.0,0.06,0.04,0.06,0.009999998,19.999996,762,4054,0.5117236328125,False,REGULAR,USD,122.25,-17.75,0.0,0.05,0.05
49,AAPL201211C00145000,2020-12-04 20:31:23,145.0,0.03,0.02,0.03,0.0,0.0,372,1278,0.5546919531250001,False,REGULAR,USD,122.25,-22.75,0.0,0.025,0.025
50,AAPL201211C00150000,2020-12-04 20:23:03,150.0,0.01,0.01,0.02,-0.01,-50.0,188,1951,0.6093789062500001,False,REGULAR,USD,122.25,-27.75,0.0,0.015,0.015
51,AAPL201211C00155000,2020-12-04 20:47:27,155.0,0.01,0.0,0.02,-0.01,-50.0,96,1245,0.6718782812500002,False,REGULAR,USD,122.25,-32.75,0.0,0.01,0.01
52,AAPL201211C00160000,2020-12-04 20:47:30,160.0,0.01,0.0,0.02,0.0,0.0,47,2118,0.7500025,False,REGULAR,USD,122.25,-37.75,0.0,0.01,0.01
53,AAPL201211C00165000,2020-12-04 20:47:46,165.0,0.01,0.0,0.02,0.0,0.0,122,1494,0.8281267187499999,False,REGULAR,USD,122.25,-42.75,0.0,0.01,0.01
54,AAPL201211C00170000,2020-12-03 16:33:39,170.0,0.01,0.0,0.01,0.0,0.0,1,125,0.8437515624999999,False,REGULAR,USD,122.25,-47.75,0.0,0.005,0.005
55,AAPL201211C00175000,2020-12-04 19:41:20,175.0,0.01,0.0,0.01,0.0,0.0,8,971,0.9062509375,False,REGULAR,USD,122.25,-52.75,0.0,0.005,0.005
