,recent_px,strike,option_px,extrinsic_value,yield,protection
0,167.7100067138672,70.0,97.45,0.0,0.00%,58.11%
1,167.7100067138672,80.0,87.38,0.0,0.00%,52.10%
2,167.7100067138672,95.0,72.12,0.0,0.00%,43.00%
3,167.7100067138672,100.0,67.42,0.0,0.00%,40.20%
4,167.7100067138672,105.0,62.1,0.0,0.00%,37.03%
5,167.7100067138672,107.0,60.03,0.0,0.00%,35.79%
6,167.7100067138672,109.0,58.35,0.0,0.00%,34.79%
7,167.7100067138672,110.0,57.23,0.0,0.00%,34.12%
8,167.7100067138672,111.0,56.05,0.0,0.00%,33.42%
9,167.7100067138672,112.5,54.73,0.0,0.00%,32.63%
10,167.7100067138672,113.0,53.92,0.0,0.00%,32.15%
11,167.7100067138672,115.0,52.2,0.0,0.00%,31.13%
12,167.7100067138672,116.0,50.98,0.0,0.00%,30.40%
13,167.7100067138672,116.5,50.5,0.0,0.00%,30.11%
14,167.7100067138672,117.0,49.95,0.0,0.00%,29.78%
15,167.7100067138672,118.0,49.62,0.0,0.00%,29.59%
16,167.7100067138672,118.5,48.77,0.0,0.00%,29.08%
17,167.7100067138672,119.0,48.08,0.0,0.00%,28.67%
18,167.7100067138672,120.0,47.33,0.0,0.00%,28.22%
19,167.7100067138672,120.5,46.58,0.0,0.00%,27.77%
20,167.7100067138672,121.0,46.02,0.0,0.00%,27.44%
21,167.7100067138672,122.0,45.35,0.0,0.00%,27.04%
22,167.7100067138672,123.0,44.22,0.0,0.00%,26.37%
23,167.7100067138672,123.5,43.72,0.0,0.00%,26.07%
24,167.7100067138672,124.0,43.6,0.0,0.00%,26.00%
25,167.7100067138672,125.0,42.42,0.0,0.00%,25.29%
26,167.7100067138672,125.5,41.42,0.0,0.00%,24.70%
27,167.7100067138672,126.0,40.9,0.0,0.00%,24.39%
28,167.7100067138672,126.5,40.62,0.0,0.00%,24.22%
29,167.7100067138672,127.0,40.28,0.0,0.00%,24.02%
30,167.7100067138672,128.0,38.92,0.0,0.00%,23.21%
31,167.7100067138672,128.5,38.53,0.0,0.00%,22.97%
32,167.7100067138672,129.0,37.83,0.0,0.00%,22.56%
33,167.7100067138672,129.5,37.75,0.0,0.00%,22.51%
34,167.7100067138672,130.0,37.33,0.0,0.00%,22.26%
35,167.7100067138672,131.0,35.98,0.0,0.00%,21.45%
36,167.7100067138672,133.0,34.03,0.0,0.00%,20.29%
37,167.7100067138672,134.0,33.17,0.0,0.00%,19.78%
38,167.7100067138672,135.0,32.88,0.17,0.10%,19.61%
39,167.7100067138672,136.0,31.27,0.0,0.00%,18.65%
40,167.7100067138672,136.5,30.55,0.0,0.00%,18.22%
41,167.7100067138672,137.0,30.42,0.0,0.00%,18.14%
42,167.7100067138672,137.5,29.93,0.0,0.00%,17.85%
43,167.7100067138672,138.0,29.5,0.0,0.00%,17.59%
44,167.7100067138672,138.5,28.52,0.0,0.00%,17.01%
45,167.7100067138672,139.0,28.5,0.0,0.00%,16.99%
46,167.7100067138672,140.0,27.77,0.06,0.04%,16.56%
47,167.7100067138672,141.0,26.6,0.0,0.00%,15.86%
48,167.7100067138672,141.5,25.7,0.0,0.00%,15.32%
49,167.7100067138672,142.0,25.15,0.0,0.00%,15.00%
50,167.7100067138672,142.5,25.05,0.0,0.00%,14.94%
51,167.7100067138672,143.0,24.18,0.0,0.00%,14.42%
52,167.7100067138672,143.5,24.12,0.0,0.00%,14.38%
53,167.7100067138672,144.0,23.23,0.0,0.00%,13.85%
54,167.7100067138672,145.0,22.93,0.22,0.13%,13.67%
55,167.7100067138672,146.0,21.9,0.19,0.11%,13.06%
56,167.7100067138672,146.5,21.4,0.19,0.11%,12.76%
57,167.7100067138672,147.0,20.9,0.19,0.11%,12.46%
58,167.7100067138672,147.5,20.45,0.24,0.14%,12.19%
59,167.7100067138672,148.0,20.3,0.59,0.35%,12.10%
60,167.7100067138672,149.0,19.25,0.54,0.32%,11.48%
61,167.7100067138672,150.0,18.6,0.89,0.53%,11.09%
62,167.7100067138672,151.0,17.27,0.56,0.33%,10.30%
63,167.7100067138672,152.0,16.55,0.84,0.50%,9.87%
64,167.7100067138672,153.0,15.53,0.82,0.49%,9.26%
65,167.7100067138672,154.0,14.82,1.11,0.66%,8.84%
66,167.7100067138672,155.0,14.1,1.39,0.83%,8.41%
67,167.7100067138672,156.0,13.2,1.49,0.89%,7.87%
68,167.7100067138672,157.0,12.32,1.61,0.96%,7.35%
69,167.7100067138672,158.0,11.62,1.91,1.14%,6.93%
70,167.7100067138672,159.0,10.93,2.22,1.32%,6.52%
71,167.7100067138672,160.0,10.05,2.34,1.40%,5.99%
72,167.7100067138672,161.0,9.45,2.74,1.63%,5.63%
73,167.7100067138672,161.5,8.9,2.69,1.60%,5.31%
74,167.7100067138672,162.5,8.22,3.01,1.79%,4.90%
75,167.7100067138672,163.5,7.6,3.39,2.02%,4.53%
76,167.7100067138672,164.0,7.22,3.51,2.09%,4.31%
77,167.7100067138672,165.0,6.72,4.01,2.39%,4.01%
78,167.7100067138672,166.0,6.03,4.32,2.58%,3.60%
79,167.7100067138672,166.5,5.85,4.64,2.77%,3.49%
80,167.7100067138672,167.5,5.33,5.12,3.05%,3.18%
81,167.7100067138672,168.5,4.78,4.78,2.85%,2.85%
82,167.7100067138672,169.0,4.55,4.55,2.71%,2.71%
83,167.7100067138672,170.0,4.05,4.05,2.41%,2.41%
84,167.7100067138672,171.0,3.6,3.6,2.15%,2.15%
85,167.7100067138672,172.5,3.05,3.05,1.82%,1.82%
86,167.7100067138672,175.0,2.25,2.25,1.34%,1.34%
87,167.7100067138672,177.5,1.61,1.61,0.96%,0.96%
88,167.7100067138672,180.0,1.19,1.19,0.71%,0.71%
89,167.7100067138672,182.5,0.88,0.88,0.52%,0.52%
90,167.7100067138672,185.0,0.66,0.66,0.39%,0.39%
91,167.7100067138672,187.5,0.47,0.47,0.28%,0.28%
92,167.7100067138672,190.0,0.4,0.4,0.24%,0.24%
93,167.7100067138672,192.5,0.4,0.4,0.24%,0.24%
94,167.7100067138672,195.0,0.28,0.28,0.17%,0.17%
95,167.7100067138672,197.5,0.2,0.2,0.12%,0.12%
96,167.7100067138672,200.0,0.14,0.14,0.08%,0.08%
97,167.7100067138672,205.0,0.14,0.14,0.08%,0.08%
98,167.7100067138672,210.0,0.06,0.06,0.04%,0.04%
99,167.7100067138672,215.0,0.25,0.25,0.15%,0.15%
